epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9736,1.46758,2.94,3.00376,1.68508,0,0.83295,0.95238,0.95074,0.58562,0,0,0,0,1.143,19.0823,2.66018,1.38546,0,0.00017,0.00017,0.08317
2,22.8557,0.80164,0.52647,0.60016,1.0525,0,0.89189,0.78571,0.88354,0.45716,0,0,0,0,1.53652,16.3706,7.86013,1.72573,0,0.0003395,0.0003395,0.0653395
3,32.4672,0.76312,0.46981,0.53578,1.02443,0,0.82051,0.7619,0.82306,0.39379,0,0,0,0,1.60822,9.34407,6.25585,2.05976,0,0.0004982,0.0004982,0.0474982
4,41.5466,0.72416,0.41542,0.49292,1.00064,0,0.97967,1,0.995,0.71949,0.0214,0.2619,0.00768,0.00144,1.02347,3.38419,1.92328,1.23727,0,0.0006461,0.0006461,0.0296461
5,50.9921,0.70562,0.38664,0.47116,0.99447,0,0.85635,1,0.98453,0.76357,0.56714,0.61905,0.48373,0.2211,0.84716,1.16688,3.43075,1.24644,0,0.0007832,0.0007832,0.0117832
6,59.8756,0.71636,0.39172,0.45771,1.0094,0,0.82283,0.8847,0.92482,0.66732,0.54132,0.57143,0.52797,0.24882,0.88565,1.03785,2.12191,1.42587,0,0.00085,0.00085,0.00085
7,68.5,0.65835,0.39394,0.44149,0.98837,0,0.84982,0.94322,0.9554,0.67705,0.59791,0.54762,0.4922,0.30581,0.91838,1.08404,0.92329,1.34727,0,0.00082,0.00082,0.00082
8,77.1296,0.67155,0.3847,0.42309,0.98064,0,0.44147,0.7619,0.42654,0.33096,0.29417,0.47619,0.18786,0.08052,0.83454,0.84886,1.45479,1.1333,0,0.00079,0.00079,0.00079
9,86.3641,0.65831,0.35883,0.43162,0.96926,0,0.97143,1,0.99337,0.78227,0.72175,0.69048,0.54898,0.18572,0.75595,0.6341,0.61047,1.10356,0,0.00076,0.00076,0.00076
10,95.5958,0.61734,0.36258,0.39453,0.97977,0,0.99223,1,0.995,0.81723,0.78553,0.78486,0.73332,0.31105,0.7905,0.5047,0.48645,1.12794,0,0.00073,0.00073,0.00073
11,105.158,0.60488,0.35052,0.3867,0.96769,0,0.98595,1,0.995,0.7831,0.82137,0.83333,0.74618,0.39702,0.73481,0.49906,0.5881,1.12153,0,0.0007,0.0007,0.0007
12,114.154,0.59617,0.35476,0.37011,0.95797,0,0.99553,1,0.995,0.81386,0.75835,0.7619,0.63769,0.36099,0.66333,0.55149,0.49038,1.07958,0,0.00067,0.00067,0.00067
13,122.904,0.58542,0.35072,0.35107,0.9395,0,0.98862,1,0.995,0.80641,0.87012,0.88095,0.85329,0.43757,0.66866,0.47466,0.46298,1.03586,0,0.00064,0.00064,0.00064
14,131.791,0.55433,0.33338,0.34234,0.93847,0,0.95418,0.99174,0.99004,0.75872,0.81694,0.85016,0.80353,0.35547,0.75965,0.58694,0.48273,1.09892,0,0.00061,0.00061,0.00061
15,141.106,0.54009,0.33403,0.32578,0.93176,0,1,0.94715,0.97452,0.78352,0.7737,0.66667,0.58719,0.38428,0.69124,0.65549,0.47249,1.09403,0,0.00058,0.00058,0.00058
16,149.837,0.54806,0.32223,0.32083,0.9405,0,0.99848,1,0.995,0.8385,0.92666,0.90253,0.85983,0.50593,0.62277,0.3794,0.35824,1.02421,0,0.00055,0.00055,0.00055
17,158.678,0.54227,0.32021,0.3211,0.93013,0,0.99848,1,0.995,0.81807,0.87959,0.88095,0.8614,0.52526,0.70618,0.39637,0.37149,1.05133,0,0.00052,0.00052,0.00052
18,167.377,0.5356,0.32101,0.31312,0.92021,0,0.99742,1,0.995,0.84714,0.8879,0.88095,0.84682,0.50471,0.60573,0.37255,0.4292,1.00998,0,0.00049,0.00049,0.00049
19,176.838,0.53126,0.30421,0.30982,0.92707,0,0.99864,1,0.995,0.8051,0.85567,0.85714,0.80625,0.45132,0.69515,0.38089,0.37914,1.08818,0,0.00046,0.00046,0.00046
20,185.85,0.49464,0.29391,0.29006,0.91625,0,0.99847,1,0.995,0.82471,0.90338,0.90476,0.86649,0.49324,0.64763,0.35047,0.3489,1.03918,0,0.00043,0.00043,0.00043
21,196.706,0.50117,0.29626,0.28773,0.91467,0,0.99836,1,0.995,0.78366,0.88874,0.88095,0.85334,0.50104,0.73174,0.35224,0.36654,1.10258,0,0.0004,0.0004,0.0004
22,205.668,0.47696,0.29257,0.28296,0.89603,0,0.99516,1,0.995,0.82386,0.8763,0.88095,0.82033,0.43696,0.65188,0.37417,0.36138,1.06973,0,0.00037,0.00037,0.00037
23,214.924,0.47044,0.28353,0.28128,0.89282,0,0.99854,1,0.995,0.84646,0.95096,0.95238,0.94317,0.52308,0.55053,0.34521,0.3159,1.01287,0,0.00034,0.00034,0.00034
24,224.49,0.45539,0.29064,0.27437,0.88336,0,0.99817,1,0.995,0.84934,0.90311,0.90476,0.87485,0.48494,0.5606,0.36652,0.30819,0.99921,0,0.00031,0.00031,0.00031
25,233.187,0.43913,0.27971,0.26168,0.88438,0,0.99865,1,0.995,0.87451,0.92732,0.92857,0.90033,0.52115,0.56721,0.34653,0.30034,1.00012,0,0.00028,0.00028,0.00028
26,242.067,0.42988,0.27351,0.25232,0.87707,0,0.99848,1,0.995,0.82767,0.92713,0.92857,0.90343,0.55203,0.64622,0.337,0.33505,1.0489,0,0.00025,0.00025,0.00025
27,250.748,0.42289,0.28093,0.2494,0.86776,0,0.9983,1,0.995,0.84239,0.88354,0.9032,0.86861,0.52867,0.56439,0.34011,0.3056,1.04026,0,0.00022,0.00022,0.00022
28,260.148,0.40579,0.26449,0.23778,0.86657,0,0.99861,1,0.995,0.84402,0.90434,0.90476,0.87415,0.51346,0.5712,0.34148,0.28241,1.06293,0,0.00019,0.00019,0.00019
29,269.215,0.41265,0.27183,0.2352,0.8589,0,0.99855,1,0.995,0.85271,0.9047,0.90476,0.86035,0.5069,0.57333,0.34882,0.27642,1.03556,0,0.00016,0.00016,0.00016
30,277.922,0.39682,0.26642,0.22827,0.8652,0,0.99867,1,0.995,0.85286,0.90353,0.90476,0.85749,0.52843,0.55759,0.33813,0.2698,1.01021,0,0.00013,0.00013,0.00013
